logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id
0.09846,3.791,#858585,0.9966,1.0,Y32H12A.6,1035,WBGene00021314,175740
-0.2694,4.981,#858585,0.9952,1.0,Y32H12A.7,1902,WBGene00021315,175741
-0.9661,7.178,#858585,0.5397,1.0,Y32H12A.8,11815,WBGene00021316,175742
-0.2133,1.711,#858585,0.9354,1.0,W03A5.2,814,WBGene00020967,260007
-0.4258,0.8841,#858585,0.827,1.0,W03A5.1,2778,WBGene00020966,175744
-1.216,4.968,#858585,0.2044,0.5752,dnj-24,1329,WBGene00001042,175745
-1.416,5.724,#858585,0.127,0.4,W03A5.6,2630,WBGene00020970,189142
-0.2286,6.174,#858585,0.9917,1.0,T24G10.2,1363,WBGene00020779,175747
-0.3322,5.241,#858585,0.9408,1.0,disl-2,2760,WBGene00018612,175748
-1.497,2.658,#858585,0.07325,0.2581,skpt-1,1568,WBGene00018613,175749
1.205,2.048,#858585,0.2471,0.6638,F48E8.8,689,WBGene00044410,3896745
-0.7371,8.372,#858585,0.7617,1.0,paa-1,2260,WBGene00003901,175750
-0.5511,5.866,#858585,0.8467,1.0,F48E8.4,2899,WBGene00018611,185984
0.2626,6.749,#858585,0.9872,1.0,F48E8.3,1857,WBGene00018610,175751
-0.09975,4.758,#858585,0.9946,1.0,F48E8.2,1868,WBGene00018609,175752
-0.6177,4.458,#858585,0.8982,1.0,R02F2.7,2228,WBGene00019836,175754
0.1722,3.946,#858585,0.9484,1.0,osg-1,3614,WBGene00019832,175756
1.382,3.572,#858585,0.1665,0.4934,R02F2.8,1569,WBGene00019837,187530
0.8281,4.289,#858585,0.6646,1.0,R02F2.9,637,WBGene00019838,259963
0.9661,8.802,#858585,0.5353,1.0,R02F2.1,1823,WBGene00019831,175757
0.6087,3.222,#858585,0.9036,1.0,nekl-4,3140,WBGene00017033,175760
-1.597,5.459,#858585,0.1995,0.5644,dex-1,3822,WBGene00017028,175761
0.9271,4.976,#858585,0.5543,1.0,D1044.6,3647,WBGene00017031,175762
1.145,3.77,#858585,0.3096,0.7803,D1044.1,1210,WBGene00017027,175763
0.8992,4.751,#858585,0.6098,1.0,F09F7.5,2031,WBGene00017302,175764
1.97,4.218,#858585,0.06316,0.2282,F09F7.6,370,WBGene00017303,184260
-0.7711,5.524,#858585,0.8158,1.0,hach-1,1615,WBGene00017301,175766
-1.224,6.674,#858585,0.2459,0.6619,rpc-2,3644,WBGene00017300,175767
0.789,9.015,#858585,0.7372,1.0,mlc-3,2188,WBGene00003371,175768
1.353,4.215,#858585,0.07575,0.2654,molo-1,897,WBGene00017299,184259
0.3665,3.182,#858585,0.9639,1.0,F56D2.3,1564,WBGene00018965,175769
0.2096,2.751,#858585,0.9923,1.0,F56D2.2,1390,WBGene00018964,175770
-0.7527,6.861,#858585,0.7867,1.0,ddx-15,2488,WBGene00018967,175771
-0.6895,8.198,#858585,0.7986,1.0,ucr-1,2093,WBGene00018963,175772
0.4426,5.165,#858585,0.978,1.0,ced-6,1694,WBGene00000420,175773
-0.127,5.597,#858585,0.9951,1.0,C05D2.10,1638,WBGene00015470,175774
0.0439,4.749,#858585,0.9955,1.0,madf-11,1987,WBGene00015468,175775
0.4021,4.304,#858585,0.8865,1.0,C05D2.8,1348,WBGene00015469,175777
-0.4425,3.853,#858585,0.9343,1.0,bas-1,1684,WBGene00000239,175778
-0.8803,6.428,#858585,0.6642,1.0,daf-4,3216,WBGene00000900,175781
-0.01671,4.175,#858585,0.9997,1.0,C05D2.11,1263,WBGene00022910,NA
-0.552,5.358,#858585,0.9508,1.0,ckk-1,2130,WBGene00000518,182278
-0.8321,-0.1326,#858585,0.6363,1.0,sdz-21,1156,WBGene00018828,186248
-0.1314,2.195,#858585,0.9851,1.0,F54E7.6,783,WBGene00018829,186249
-1.047,7.034,#858585,0.4726,1.0,par-3,5288,WBGene00003918,175783
0.1856,4.004,#858585,0.9784,1.0,F54E7.9,653,WBGene00018831,175784
0.4254,3.004,#858585,0.9747,1.0,ska-3,948,WBGene00018830,175785
-0.2412,9.807,#858585,0.9164,1.0,rps-12,494,WBGene00004481,175786
-1.73,4.299,#858585,0.04785,0.1814,pst-2,1273,WBGene00018827,175787
0.7812,5.834,#858585,0.7638,1.0,rcan-1,1021,WBGene00004321,175788
-0.2974,5.371,#858585,0.9879,1.0,abi-1,1566,WBGene00015146,175789
-0.001719,2.88,#858585,0.9998,1.0,arle-14,881,WBGene00015145,175790
-0.2953,2.877,#858585,0.9716,1.0,B0336.13,635,WBGene00015150,175791
-0.08581,3.901,#858585,0.9986,1.0,B0336.7,1575,WBGene00015147,175792
0.9326,3.05,#858585,0.5745,1.0,lgg-3,433,WBGene00002982,175793
-1.016,4.509,#858585,0.4697,1.0,rgs-5,1991,WBGene00004348,175794
-1.681,5.811,#858585,0.05046,0.1897,swp-1,2976,WBGene00006359,175795
0.1682,10.49,#858585,0.9532,1.0,rpl-23,513,WBGene00004435,175796
-0.9558,5.563,#858585,0.5747,1.0,hpo-28,1831,WBGene00015148,175798
-0.3356,7.025,#858585,0.8995,1.0,rbm-26,2896,WBGene00015143,175800
-0.9955,8.781,#858585,0.506,1.0,arf-1.2,1332,WBGene00000182,175801
-1.091,5.258,#858585,0.4062,0.9413,wrm-1,2815,WBGene00006943,175802
0.5224,0.9245,#858585,0.8631,1.0,B0244.10,1289,WBGene00015085,175806
1.42,0.9598,#858585,0.1917,0.5481,B0244.6,1125,WBGene00015081,181877
1.768,0.2387,#858585,0.04316,0.1667,B0244.16,1083,WBGene00271577,32091596
1.61,0.09829,#858585,0.09025,0.3046,B0244.4,1077,WBGene00015079,181875
-0.8372,9.017,#858585,0.6404,1.0,ida-1,2633,WBGene00002048,175807
-0.7863,4.295,#858585,0.654,1.0,cutl-23,2442,WBGene00021343,189610
-0.5891,3.529,#858585,0.852,1.0,rev-3,4035,WBGene00021344,175809
3.244,3.535,#858585,0.009785,0.05253,Y37B11A.8,879,WBGene00255596,NA
1.792,4.143,#858585,0.009491,0.05136,Y37B11A.3,378,WBGene00021345,189611
-0.3645,4.256,#858585,0.9306,1.0,polq-1,5094,WBGene00020964,175810
1.277,1.411,#858585,0.2282,0.6267,ceh-10,1095,WBGene00000435,175811
-0.8552,4.689,#858585,0.7157,1.0,him-10,1596,WBGene00001869,175813
1.231,0.5527,#858585,0.2665,0.7012,R12B2.3,748,WBGene00020019,187836
-0.437,3.261,#858585,0.9656,1.0,R12B2.2,1039,WBGene00020018,187835
1.293,5.184,#858585,0.1207,0.3845,sma-4,1912,WBGene00004858,175815
0.8187,2.9,#858585,0.6436,1.0,R12B2.8,458,WBGene00044411,3896755
-0.6987,8.082,#858585,0.7986,1.0,mdt-15,3744,WBGene00007016,175817
-0.1993,6.495,#858585,0.95,1.0,ddx-23,2305,WBGene00017162,175818
-0.6765,8.491,#858585,0.8465,1.0,cct-6,1910,WBGene00000381,175819
-1.665,6.4,#858585,0.01353,0.06734,alh-9,1973,WBGene00000115,175820
-0.8881,5.936,#858585,0.6812,1.0,dpf-4,2085,WBGene00001057,175821
-0.5852,6.575,#858585,0.9182,1.0,dnpp-1,1549,WBGene00017163,175822
0.4171,5.1,#858585,0.9585,1.0,rabn-5,1537,WBGene00017161,175823
-0.3444,3.963,#858585,0.9795,1.0,eng-1,1354,WBGene00017164,184063
-0.5245,4.329,#858585,0.8768,1.0,F01F1.15,812,WBGene00017169,175824
-0.3436,4.286,#858585,0.9907,1.0,F01F1.11,1849,WBGene00017165,175825
0.0421,4.093,#858585,0.9966,1.0,F01F1.3,855,WBGene00017160,175826
0.2033,8.809,#858585,0.9851,1.0,aldo-2,1360,WBGene00017166,175827
1.903,0.6972,#858585,0.04798,0.1818,mig-21,1086,WBGene00003252,184064
-0.217,4.538,#858585,0.9674,1.0,F01F1.2,723,WBGene00017159,175828
-0.2576,6.163,#858585,0.9767,1.0,hpo-10,2338,WBGene00017158,175829
1.185,0.6046,#858585,0.4521,1.0,C28H8.8,894,WBGene00016199,182998
0.9272,6.974,#858585,0.6122,1.0,pxl-1,1691,WBGene00016197,175831
-0.5569,5.558,#858585,0.955,1.0,dpff-1,1444,WBGene00016200,175832
-0.7469,5.717,#858585,0.7288,1.0,erd-2.2,923,WBGene00016195,175833
-0.7664,8.766,#858585,0.7027,1.0,C28H8.3,5456,WBGene00016194,175834
-0.217,5.805,#858585,0.9775,1.0,C28H8.14,185,WBGene00219838,NA
-1.639,7.224,#858585,0.04131,0.161,tdo-2,1655,WBGene00016201,175836
-0.04374,2.71,#858585,0.9975,1.0,C28H8.2,686,WBGene00016193,182995
0.4845,6.356,#858585,0.9626,1.0,dnc-2,1153,WBGene00001018,175837
0.004179,4.674,#858585,0.9993,1.0,bcl-7,633,WBGene00016192,175838
0.8214,4.772,#858585,0.7445,1.0,zmp-1,1736,WBGene00006987,175839
0.6237,10.42,#858585,0.8273,1.0,ubq-1,2827,WBGene00006727,175840
0.04072,4.908,#858585,0.9993,1.0,F25B5.5,1731,WBGene00017776,175841
-0.02448,5.824,#858585,0.9996,1.0,F25B5.6,2237,WBGene00017777,175842
0.756,6.931,#858585,0.8137,1.0,F25B5.3,2335,WBGene00017775,175843
-1.028,6.472,#858585,0.4828,1.0,nono-1,1963,WBGene00017778,175844
0.1508,4.416,#858585,0.9633,1.0,nop-1,2774,WBGene00017774,175845
-1.126,5.684,#858585,0.3188,0.7967,dct-6,2981,WBGene00017773,175846
0.2475,6.141,#858585,0.9823,1.0,mlp-1,767,WBGene00003375,175847
-0.9331,6.557,#858585,0.5723,1.0,frm-2,2176,WBGene00001489,175848
-1.126,7.51,#858585,0.3645,0.8728,T04C9.1,3493,WBGene00020209,175849
-0.4282,3.777,#858585,0.9475,1.0,gcna-1,1910,WBGene00022694,175850
-0.1989,8.074,#858585,0.9369,1.0,eftu-2,3069,WBGene00001166,175851
-0.6007,7.692,#858585,0.7406,1.0,npp-10,5504,WBGene00003796,175852
-0.6359,6.707,#858585,0.7792,1.0,cyk-3,3824,WBGene00000874,175853
0.9784,2.633,#858585,0.5222,1.0,ZK328.6,1365,WBGene00022695,175854
0.4967,3.487,#858585,0.8377,1.0,ift-139,4068,WBGene00022696,175855
-0.6151,2.741,#858585,0.7596,1.0,F40H6.5,3867,WBGene00018255,185576
2.538,2.949,#858585,0.01345,0.06711,F40H6.6,917,WBGene00044412,NA
-0.4838,4.786,#858585,0.975,1.0,mapk-15,1740,WBGene00015478,175857
-1.05,7.186,#858585,0.426,0.9724,attf-4,1921,WBGene00015477,175858
0.05649,2.345,#858585,0.9971,1.0,wht-1,2075,WBGene00015479,175859
-1.587,6.14,#858585,0.02995,0.1249,C05D10.4,2137,WBGene00015480,175860
-1.272,6.397,#858585,0.1775,0.5174,nmt-1,1717,WBGene00020549,175861
-0.6954,6.416,#858585,0.7733,1.0,kin-18,3746,WBGene00002201,175862
-0.7738,7.773,#858585,0.7487,1.0,mvk-1,2949,WBGene00021534,175863
-0.02932,4.134,#858585,0.9994,1.0,wht-7,2197,WBGene00021535,175864
-0.6957,6.189,#858585,0.8369,1.0,Y42G9A.3,1486,WBGene00021533,175865
-1.031,4.312,#858585,0.4783,1.0,Y42G9A.2,456,WBGene00021532,175866
1.027,2.959,#858585,0.4654,1.0,Y42G9A.1,1161,WBGene00021531,175867
-1.108,4.913,#858585,0.3608,0.8664,anmt-2,1114,WBGene00018340,175868
0.1917,6.089,#858585,0.9865,1.0,nfm-1,2680,WBGene00003593,175870
-0.7385,3.586,#858585,0.7095,1.0,F42A10.9,518,WBGene00023489,259512
0.7106,6.975,#858585,0.7589,1.0,efk-1,2704,WBGene00001160,175871
-0.9421,6.195,#858585,0.5966,1.0,F42A10.5,1503,WBGene00018341,175872
-0.5396,7.482,#858585,0.8884,1.0,abcf-3,2447,WBGene00018339,175873
-0.4724,5.693,#858585,0.8662,1.0,F42A10.6,577,WBGene00018342,175874
1.062,1.296,#858585,0.4604,1.0,nas-28,1494,WBGene00003546,185658
0.7389,3.545,#858585,0.7333,1.0,C23G10.14,756,WBGene00271647,NA
0.2084,3.889,#858585,0.989,1.0,C23G10.5,846,WBGene00016012,182813
0.3467,2.677,#858585,0.8736,1.0,ugt-66,1700,WBGene00016013,182814
-0.7814,5.609,#858585,0.8053,1.0,C23G10.7,1924,WBGene00016014,175876
-1.368,7.883,#858585,0.1221,0.3878,rpn-2,3133,WBGene00004459,175877
-0.7029,7.076,#858585,0.7376,1.0,C23G10.8,2963,WBGene00016015,175878
-0.1456,11.19,#858585,0.9653,1.0,rps-3,807,WBGene00004472,175879
-1.403,6.291,#858585,0.1955,0.5563,C23G10.2,727,WBGene00016011,182812
2.782,0.4543,#858585,0.0142,0.06961,C23G10.10,438,WBGene00016016,182815
-0.5706,4.161,#858585,0.8745,1.0,hot-4,820,WBGene00001989,175881
-1.028,5.753,#858585,0.4647,1.0,esyt-2,2682,WBGene00020443,175882
-0.707,4.844,#858585,0.8619,1.0,bcas-2,1095,WBGene00020441,188435
-0.8199,5.484,#858585,0.7733,1.0,gen-1,1738,WBGene00020442,175885
-1.359,8.217,#858585,0.18,0.5226,stt-3,2967,WBGene00020437,175886
0.7609,0.5094,#858585,0.7446,1.0,srg-7,1020,WBGene00005165,191833
1.777,2.015,#858585,0.03139,0.1293,C18F10.2,2205,WBGene00015977,175888
0.5201,5.792,#858585,0.8499,1.0,C18F10.7,1950,WBGene00015978,175889
-0.07889,7.3,#858585,0.9971,1.0,hmg-1.2,1411,WBGene00001972,175890
0.2302,4.256,#858585,0.9796,1.0,F47D12.6,420,WBGene00018562,185934
-1.063,2.565,#858585,0.4613,1.0,F47D12.3,468,WBGene00018560,185932
0.9083,6.445,#858585,0.6406,1.0,F47D12.9,2286,WBGene00018564,175892
0.01205,5.088,#858585,0.9997,1.0,gar-2,2586,WBGene00001518,175893
-0.4637,4.17,#858585,0.9707,1.0,C56G2.4,1747,WBGene00016979,175894
-0.8212,7.172,#858585,0.6918,1.0,let-767,1454,WBGene00002891,175895
-0.6053,6.823,#858585,0.9142,1.0,rpn-13,1393,WBGene00016981,3565888
-0.9681,3.107,#858585,0.5344,1.0,C56G2.9,581,WBGene00016982,266886
-0.4908,4.128,#858585,0.9754,1.0,C56G2.3,1662,WBGene00016978,183866
-1.085,9.339,#858585,0.4228,0.9689,akap-1,4734,WBGene00016977,175898
-0.88,1.956,#858585,0.6515,1.0,C56G2.15,842,WBGene00016983,175899
-0.7781,7.003,#858585,0.681,1.0,thoc-2,4450,WBGene00015813,175900
-0.1678,10.09,#858585,0.947,1.0,rps-13,556,WBGene00004482,175901
1.253,7.13,#858585,0.3539,0.8547,nfx-1,3553,WBGene00007048,175902
0.5536,7.549,#858585,0.9056,1.0,C16A3.5,712,WBGene00015810,175904
-0.5259,7.683,#858585,0.7892,1.0,let-716,5447,WBGene00002850,175906
0.6026,4.159,#858585,0.9453,1.0,C16A3.2,858,WBGene00015807,182649
0.1766,4.894,#858585,0.9766,1.0,smrc-1,2244,WBGene00015806,175907
-0.6468,5.81,#858585,0.8867,1.0,let-756,1712,WBGene00002881,175909
0.4594,3.625,#858585,0.8298,1.0,C05D11.5,1382,WBGene00015483,182258
-0.7733,3.173,#858585,0.7197,1.0,nas-4,1620,WBGene00003523,182259
0.8671,6.664,#858585,0.6541,1.0,atgl-1,2967,WBGene00015484,175910
-0.8581,5.802,#858585,0.6349,1.0,C05D11.8,2622,WBGene00015485,182260
-0.8338,5.083,#858585,0.7366,1.0,C05D11.9,2406,WBGene00015486,175911
0.737,5.329,#858585,0.8138,1.0,mrps-17,483,WBGene00015487,175912
-0.5353,6.169,#858585,0.9018,1.0,txdc-9,797,WBGene00006515,182257
-0.7233,5.667,#858585,0.8013,1.0,vps-16,2719,WBGene00006516,175913
-0.6912,7.66,#858585,0.7536,1.0,C05D11.1,3109,WBGene00015481,175914
-0.2119,3.964,#858585,0.9933,1.0,C05D11.13,992,WBGene00015488,182261
0.04748,7.426,#858585,0.9983,1.0,let-721,2015,WBGene00002855,175916
-0.2009,5.323,#858585,0.9967,1.0,T26A5.6,1814,WBGene00020822,175917
-0.2094,5.39,#858585,0.9955,1.0,set-1,1314,WBGene00004781,175918
-1.031,6.364,#858585,0.4702,1.0,jhdm-1,4236,WBGene00020821,175919
-0.4857,4.333,#858585,0.9751,1.0,algn-1,1523,WBGene00020820,175920
-0.1595,3.47,#858585,0.9834,1.0,T26A5.8,544,WBGene00020823,175921
-0.6717,7.784,#858585,0.7603,1.0,dlc-1,615,WBGene00001005,175922
2.121,3.536,#858585,0.02895,0.1216,nduf-2.2,1557,WBGene00006463,188912
1.944,2.846,#858585,0.07539,0.2644,T26A5.2,2736,WBGene00020819,175923
-0.7979,7.072,#858585,0.7686,1.0,rpt-3,1355,WBGene00004503,175925
1.052,1.793,#858585,0.4639,1.0,F23F12.13,1612,WBGene00044455,3896740
2.333,1.735,#858585,0.01756,0.08224,F23F12.3,1707,WBGene00017751,175926
1.445,3.198,#858585,0.1098,0.3566,F23F12.12,972,WBGene00017756,175927
-1.027,3.916,#858585,0.4594,1.0,acr-5,1800,WBGene00000044,191596
-0.7983,2.785,#858585,0.6829,1.0,C09E7.10,837,WBGene00044295,3565364
0.5058,3.709,#858585,0.897,1.0,oig-1,503,WBGene00003859,182450
0.5214,4.753,#858585,0.9333,1.0,C09E7.4,2004,WBGene00015638,175928
0.07359,4.908,#858585,0.9871,1.0,C09E7.6,3431,WBGene00015640,NA
-0.1107,5.18,#858585,0.9894,1.0,C09E7.7,3188,WBGene00015641,175930
-0.2649,4.426,#858585,0.9668,1.0,C09E7.8,3471,WBGene00015642,175931
-0.07207,3.209,#858585,0.9956,1.0,F27B3.7,3277,WBGene00017849,NA
-1.67,0.2016,#858585,0.1314,0.4107,F27B3.6,672,WBGene00017848,185006
-1.674,3.527,#858585,0.01392,0.06855,acr-21,1460,WBGene00000060,NA
-1.41,0.8239,#858585,0.1829,0.5273,ddo-3,1310,WBGene00017648,184746
0.5522,4.968,#858585,0.9188,1.0,F20H11.1,1564,WBGene00017646,175933
-0.05921,8.04,#858585,0.9749,1.0,let-765,6383,WBGene00002889,175934
-1.521,7.937,#858585,0.1212,0.3855,mdh-2,1608,WBGene00003162,175936
0.329,5.4,#858585,0.9105,1.0,ctsa-2,1644,WBGene00021503,175938
-0.6546,4.373,#858585,0.8666,1.0,Y40D12A.1,2121,WBGene00021502,182563
0.01714,2.675,#858585,0.9994,1.0,C13B9.2,1461,WBGene00015733,266887
-1.028,7.498,#858585,0.4617,1.0,copd-1,1832,WBGene00015734,175940
-0.4126,6.696,#858585,0.9719,1.0,pdfr-1,3117,WBGene00015735,175942
-0.9923,6.13,#858585,0.5086,1.0,rbf-1,4383,WBGene00004316,175943
-1.622,6.669,#858585,0.06826,0.2433,isw-1,3337,WBGene00002169,175944
0.2768,3.592,#858585,0.9891,1.0,bath-41,1492,WBGene00018137,175946
0.6711,3.993,#858585,0.8727,1.0,F37A4.2,732,WBGene00018132,175947
-0.04244,6.462,#858585,0.9975,1.0,F37A4.1,1659,WBGene00018131,175948
-0.6402,5.692,#858585,0.9178,1.0,wdr-4,1449,WBGene00022420,190860
-0.365,3.109,#858585,0.878,1.0,Y102E9.5,579,WBGene00044452,3896742
-1.127,5.911,#858585,0.2928,0.7506,odr-4,1907,WBGene00003851,175950
-0.6298,8.537,#858585,0.7199,1.0,dig-1,39869,WBGene00000998,175951
-0.6236,3.242,#858585,0.8907,1.0,R05H11.1,1597,WBGene00019907,187631
-1.451,6.255,#858585,0.1758,0.5135,lim-8,4204,WBGene00017904,175952
1.705,2.275,#858585,0.07035,0.2498,F28F5.4,189,WBGene00043297,3896752
1.65,3.29,#858585,0.1356,0.4216,F28F5.6,560,WBGene00017905,259515
-2.411,7.463,#858585,0.04354,0.168,ten-1,9477,WBGene00006498,175953
0.2991,4.316,#858585,0.9603,1.0,srv-1,1165,WBGene00005712,191838
0.3564,5.256,#858585,0.95,1.0,zak-1,2790,WBGene00006971,175954
0.04647,5.194,#858585,0.9993,1.0,sma-3,1339,WBGene00004857,175955
-0.4166,3.034,#858585,0.9268,1.0,kbp-1,523,WBGene00020064,24104812
1.457,4.808,#858585,0.08164,0.2821,K04C2.3,682,WBGene00019381,175958
0.1693,3.872,#858585,0.9708,1.0,K04C2.7,882,WBGene00044311,3565798
0.9503,0.584,#858585,0.5493,1.0,med-2,525,WBGene00003181,191706
-0.31,4.153,#858585,0.9489,1.0,brd-1,2208,WBGene00000265,175959
-1.6,6.221,#858585,0.04992,0.1881,K04C2.2,3153,WBGene00019380,175960
0.08056,0.5768,#858585,0.9864,1.0,K04C2.5,588,WBGene00019382,186982
-0.1804,5.319,#858585,0.9827,1.0,T07E3.4,1558,WBGene00020315,175961
0.05457,3.639,#858585,0.9989,1.0,brc-2,1425,WBGene00020316,175962
0.0004734,3.871,#858585,1.0,1.0,T07E3.3,913,WBGene00020314,188233
0.3813,8.232,#858585,0.9087,1.0,pdf-1,1151,WBGene00020317,175963
-0.3349,5.089,#858585,0.9879,1.0,flap-1,1409,WBGene00018998,175964
-1.497,8.764,#858585,0.1129,0.3645,inf-1,1675,WBGene00002083,175966
1.143,8.388,#858585,0.3209,0.8007,byn-1,1563,WBGene00000276,175968
1.118,1.431,#858585,0.4189,0.9626,F57B9.8,1441,WBGene00018999,175967
0.3424,4.997,#858585,0.9908,1.0,coq-2,1371,WBGene00000762,175969
-1.007,8.512,#858585,0.5049,1.0,let-711,8668,WBGene00002845,175971
-0.6795,7.254,#858585,0.8741,1.0,rpn-6.1,1672,WBGene00004462,175972
0.5155,4.854,#858585,0.9467,1.0,F57B9.1,1083,WBGene00018996,175973
-0.6241,5.972,#858585,0.824,1.0,panl-2,3742,WBGene00017951,175974
1.337,-0.1703,#858585,0.2418,0.6534,F31E3.12,387,WBGene00219317,13189998
-0.9761,12.77,#858585,0.5227,1.0,eef-1A.1,1549,WBGene00001168,175975
-1.006,4.958,#858585,0.4897,1.0,rfc-4,1157,WBGene00004340,175976
1.373,4.801,#858585,0.07842,0.2725,F31E3.2,1986,WBGene00017950,175977
-0.7436,6.908,#858585,0.8064,1.0,ceh-20,1279,WBGene00000443,3565545
1.775,3.106,#858585,0.02111,0.09503,F31E3.6,479,WBGene00017952,185154
-0.002902,5.958,#858585,0.9999,1.0,prk-1,2098,WBGene00004182,175980
0.4389,4.198,#858585,0.9821,1.0,lgc-38,1659,WBGene00017389,NA
2.05,-0.6002,#858585,0.03101,0.1284,col-8,921,WBGene00000597,175981
0.05952,4.71,#858585,0.9975,1.0,rfl-1,1657,WBGene00004341,175982
-0.1483,5.569,#858585,0.961,1.0,cyk-1,4517,WBGene00000872,175983
0.7551,3.84,#858585,0.7135,1.0,R01H2.7,712,WBGene00023414,3565286
-1.272,1.321,#858585,0.2177,0.604,R01H2.4,1632,WBGene00019812,187511
-1.14,5.245,#858585,0.2967,0.7578,ger-1,1109,WBGene00019813,187512
-0.5931,5.729,#858585,0.9261,1.0,ubc-18,673,WBGene00006713,175985
1.262,1.112,#858585,0.2595,0.6872,R01H2.8,395,WBGene00045190,4927043
1.413,0.1236,#858585,0.1749,0.512,tmem-17,438,WBGene00022733,191316
0.1506,4.67,#858585,0.9923,1.0,lin-37,1030,WBGene00003022,175986
-0.3003,5.335,#858585,0.9696,1.0,ZK418.5,916,WBGene00022734,175987
0.7516,0.7759,#858585,0.7219,1.0,ZK418.13,1168,WBGene00220259,24105289
0.5726,3.618,#858585,0.9099,1.0,ZK418.6,1229,WBGene00022735,191317
0.9387,4.9,#858585,0.6032,1.0,ZK418.7,1200,WBGene00022736,191318
1.786,0.7253,#858585,0.06256,0.2264,tofu-7,1118,WBGene00022737,175988
1.632,0.7766,#858585,0.1926,0.55,ZK418.10,882,WBGene00044353,3565356
1.883,0.347,#858585,0.04021,0.1576,nhr-9,999,WBGene00003608,191718
2.637,-0.7078,#858585,0.01833,0.08503,cpg-2,1729,WBGene00015102,175991
2.363,-0.2726,#858585,0.01704,0.08024,odd-1,1160,WBGene00003845,181893
-1.153,2.343,#858585,0.3821,0.9015,B0280.7,1173,WBGene00015103,175992
0.6547,6.062,#858585,0.8558,1.0,nhr-10,1541,WBGene00003609,175993
-0.4398,5.292,#858585,0.9728,1.0,B0280.9,1399,WBGene00015104,175994
0.07073,5.01,#858585,0.9987,1.0,rpia-1,984,WBGene00015101,175995
-0.4555,3.034,#858585,0.9379,1.0,viro-2,1910,WBGene00015107,3565684
0.07263,3.65,#858585,0.9979,1.0,pot-1,1144,WBGene00015105,181894
0.2165,5.713,#858585,0.996,1.0,ggtb-1,2287,WBGene00015099,175998
-1.785,3.969,#858585,0.02647,0.1136,glr-2,2934,WBGene00001613,175999
0.2105,8.608,#858585,0.9845,1.0,ogt-1,4134,WBGene00003858,176000
-0.3689,7.967,#858585,0.9623,1.0,nuo-4,1635,WBGene00019401,176001
-0.5187,6.506,#858585,0.8514,1.0,rnp-7,1247,WBGene00004390,176002
0.4165,5.608,#858585,0.9835,1.0,syf-2,864,WBGene00019402,176003
0.2699,5.488,#858585,0.989,1.0,K04G7.1,2159,WBGene00019400,176004
-0.07615,8.015,#858585,0.979,1.0,acs-4,2833,WBGene00018152,176005
0.04179,10.77,#858585,0.9874,1.0,rps-14,532,WBGene00004483,176006
0.1354,9.262,#858585,0.965,1.0,rpl-36,379,WBGene00004450,176007
-0.8735,5.884,#858585,0.5945,1.0,F37C12.3,616,WBGene00018151,176008
1.143,5.248,#858585,0.2607,0.69,epg-4,1474,WBGene00018150,176009
0.9712,5.768,#858585,0.5388,1.0,F37C12.1,1045,WBGene00018149,176010
1.624,1.972,#858585,0.09418,0.3152,F37C12.10,507,WBGene00018153,185422
1.749,0.2816,#858585,0.1157,0.3717,F37C12.21,524,WBGene00194742,13190077
0.05875,8.543,#858585,0.9809,1.0,rps-21,342,WBGene00004490,176011
-1.299,2.51,#858585,0.1488,0.453,mec-14,1569,WBGene00003176,185423
0.2157,5.314,#858585,0.9801,1.0,exos-9,1444,WBGene00018154,176012
0.4062,6.401,#858585,0.9333,1.0,pfd-5,591,WBGene00020112,176013
-0.2604,6.6,#858585,0.9821,1.0,dpy-31,2015,WBGene00006592,176014
-0.1039,11.44,#858585,0.9705,1.0,rpl-6,785,WBGene00004417,176015
-1.265,6.951,#858585,0.188,0.54,R151.2,2199,WBGene00020107,176016
0.071,5.467,#858585,0.9973,1.0,R151.1,2211,WBGene00020106,187907
0.1029,5.429,#858585,0.9975,1.0,R151.6,1008,WBGene00020109,176018
-0.8441,6.35,#858585,0.7434,1.0,hsp-75,2153,WBGene00020110,176019
-0.5405,5.173,#858585,0.932,1.0,R151.8,2347,WBGene00020111,176020
-0.3576,4.663,#858585,0.9426,1.0,R151.10,841,WBGene00020113,24104817
-0.4385,5.489,#858585,0.9813,1.0,adr-2,1697,WBGene00000080,176022
-0.6332,6.758,#858585,0.7749,1.0,T20H4.5,936,WBGene00020636,176023
-0.8189,8.196,#858585,0.702,1.0,pars-1,1977,WBGene00004189,176024
-0.2406,5.425,#858585,0.9936,1.0,osm-10,1633,WBGene00003890,191740
-1.191,1.946,#858585,0.3305,0.8166,zmp-6,1115,WBGene00020646,176025
0.06908,4.26,#858585,0.9985,1.0,B0361.4,1016,WBGene00015158,181940
-0.1146,4.957,#858585,0.9984,1.0,B0361.6,1339,WBGene00015160,176028
-1.475,5.52,#858585,0.03359,0.1366,B0361.3,2095,WBGene00015157,176029
0.5214,5.35,#858585,0.9701,1.0,pho-5,1472,WBGene00015161,176030
0.119,6.53,#858585,0.9973,1.0,ykt-6,1147,WBGene00015164,176031
0.1706,5.926,#858585,0.9871,1.0,algn-11,1536,WBGene00015162,176032
0.1468,5.411,#858585,0.9956,1.0,B0361.2,1485,WBGene00015156,176034
