,logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id,cellTypes
3170,1.137,5.545,#858585,0.2808,0.7277,E02H1.1,1100,WBGene00008455,183993.0,
3171,0.4637,3.904,#858585,0.9611,1.0,tag-124,1405,WBGene00006473,174509.0,
3172,-0.3788,5.468,#858585,0.9774,1.0,parp-2,1861,WBGene00004050,3565967.0,
3173,0.02785,3.64,#858585,0.9995,1.0,E02H1.5,836,WBGene00008457,174510.0,
3174,0.3048,4.95,#858585,0.9854,1.0,E02H1.6,689,WBGene00008458,174511.0,
3175,0.4461,4.494,#858585,0.9204,1.0,mrpl-53,486,WBGene00008459,3565796.0,
3176,1.155,5.981,#858585,0.2754,0.7183,nhr-19,1769,WBGene00003618,174512.0,
3177,0.207,1.134,#858585,0.9781,1.0,hal-3,964,WBGene00011788,188538.0,
3178,-0.2309,8.435,#858585,0.9865,1.0,dnj-20,2288,WBGene00001038,174514.0,
3179,-1.38,6.599,#858585,0.08417,0.2888,ZK1307.8,1800,WBGene00014249,174515.0,
3180,-1.846,3.441,#858585,0.02782,0.118,ZK1307.7,1462,WBGene00014248,191562.0,
3181,-0.3338,6.276,#858585,0.9323,1.0,fzr-1,2979,WBGene00001510,174516.0,"['intestinal cell', 'seam cell', 'ventral cord blast cell', 'and vulval precursor cell']"
3182,0.5786,5.188,#858585,0.951,1.0,sqv-8,1265,WBGene00005026,174517.0,
3183,1.626,4.878,#858585,0.01779,0.08294,ZK1307.9,1182,WBGene00014250,174518.0,
3184,0.5827,2.638,#858585,0.8216,1.0,ZK1307.2,521,WBGene00014245,191559.0,
3185,-1.163,6.008,#858585,0.3198,0.7983,ZK1307.1,1011,WBGene00014244,174519.0,
3186,0.6378,4.669,#858585,0.9346,1.0,gstk-1,798,WBGene00014251,191563.0,"['body wall musculature', 'hypodermis', 'and rectal gland cell']"
3187,0.9998,6.033,#858585,0.5056,1.0,ZK1320.2,704,WBGene00014252,174520.0,
3188,1.687,4.618,#858585,0.1953,0.556,ZK1320.3,693,WBGene00014253,174521.0,['intestine']
3189,1.323,2.964,#858585,0.1161,0.3726,ZK1320.5,1245,WBGene00014255,191564.0,
3190,1.073,4.549,#858585,0.4048,0.9392,ZK1320.11,790,WBGene00014259,174523.0,
3191,0.2806,4.15,#858585,0.9689,1.0,taf-8,1628,WBGene00006390,174524.0,
3192,0.5192,3.998,#858585,0.9685,1.0,ZK1320.7,1146,WBGene00014256,259457.0,
3193,-0.7546,5.394,#858585,0.8557,1.0,arc-1,1710,WBGene00000180,174525.0,
3194,0.8795,1.94,#858585,0.5851,1.0,ZK1320.13,319,WBGene00044007,3565061.0,
3195,0.2954,5.582,#858585,0.9687,1.0,ZK1320.9,1573,WBGene00014258,174526.0,
3196,0.6611,6.025,#858585,0.8351,1.0,nlp-11,639,WBGene00003749,191566.0,['neurons']
3197,-0.1029,5.758,#858585,0.9974,1.0,mop-25.2,1606,WBGene00013140,174527.0,
3198,0.2301,4.206,#858585,0.9943,1.0,Y53C12A.10,926,WBGene00175030,13186571.0,
3199,-0.09214,4.791,#858585,0.9981,1.0,Y53C12A.3,978,WBGene00013139,174528.0,
3200,0.6173,4.017,#858585,0.8301,1.0,glt-5,1787,WBGene00001623,174530.0,['pharynx']
3201,-0.6543,3.745,#858585,0.7772,1.0,wee-1.3,2404,WBGene00006940,174531.0,"['several structures', 'including germ line', 'intestine', 'oocyte', 'somatic cell', 'and spermatheca']"
3202,1.834,0.5556,#858585,0.07723,0.2695,cutl-2,1160,WBGene00013145,174532.0,
3203,-1.071,-0.08312,#858585,0.4655,1.0,mab-3,1872,WBGene00003100,174533.0,"['ADF', 'SMD', 'and in male']"
3204,1.547,7.736,#858585,0.04331,0.1672,pno-1,1242,WBGene00013144,174534.0,
3205,-1.438,5.522,#858585,0.04868,0.1842,Y53C12B.1,2538,WBGene00013143,190203.0,['tail']
3206,-1.349,5.925,#858585,0.2464,0.6628,nos-3,3414,WBGene00003785,174535.0,"['several structures', 'including Psub3', 'Psub4', 'Z2', 'Z3', 'and germ line']"
3207,1.783,3.373,#858585,0.09352,0.3136,Y53C12B.7,484,WBGene00013146,3565122.0,
3208,-0.02175,5.62,#858585,0.9997,1.0,shk-1,2414,WBGene00014261,174536.0,"['body wall musculature', 'head ganglion', 'interneuron', 'muscle cell', 'and sensory neurons']"
3209,0.3729,6.294,#858585,0.9608,1.0,aqp-10,1084,WBGene00000178,174537.0,
3210,0.4673,5.498,#858585,0.9262,1.0,ZK1321.4,1841,WBGene00014262,174538.0,
3211,-0.9146,2.043,#858585,0.6,1.0,arrd-5,1137,WBGene00014161,191469.0,
3212,1.206,4.096,#858585,0.249,0.667,arrd-4,1129,WBGene00014159,174540.0,"['amphid neurons', 'sensory neurons']"
3213,3.352,-0.6492,#858585,0.01378,0.06818,chil-6,1383,WBGene00007471,182436.0,
3214,-0.4886,1.979,#858585,0.9168,1.0,C08H9.1,1652,WBGene00007462,182429.0,
3215,-0.5785,4.147,#858585,0.8641,1.0,C08H9.15,604,WBGene00007474,3564883.0,
3216,-1.707,3.181,#858585,0.05268,0.1967,algn-8,2425,WBGene00007464,174542.0,
3217,-1.453,9.353,#858585,0.1654,0.4911,vgln-1,4288,WBGene00007463,174543.0,
3218,-0.04003,3.446,#858585,0.9975,1.0,C08H9.16,994,WBGene00086566,7040127.0,
3219,-2.066,3.347,#858585,0.01799,0.08369,F26C11.1,1327,WBGene00009146,184959.0,
3220,-0.6358,2.735,#858585,0.8374,1.0,unc-4,984,WBGene00006744,174544.0,"['I5 neuron', 'cholinergic neurons', 'and somatic nervous system']"
3221,-0.04096,6.045,#858585,0.9862,1.0,C05C10.2,4985,WBGene00007329,174546.0,
3222,-0.9783,6.385,#858585,0.5298,1.0,C05C10.3,1715,WBGene00007330,174548.0,
3223,-1.191,6.235,#858585,0.2781,0.7228,ufd-3,2801,WBGene00007333,3565222.0,
3224,-0.3781,4.741,#858585,0.9854,1.0,flad-1,1808,WBGene00011271,3565030.0,
3225,-0.6391,5.268,#858585,0.9138,1.0,egl-43,1983,WBGene00001207,174552.0,"['several structures', 'including MSaaap', 'MSpaap', 'gonad', 'neurons', 'and somatic gonad precursor']"
3226,0.1453,8.984,#858585,0.9576,1.0,R53.4,663,WBGene00011273,174554.0,
3227,0.09953,2.198,#858585,0.9851,1.0,psf-1,683,WBGene00011275,187885.0,
3228,-0.005618,3.835,#858585,0.9984,1.0,R53.5,746,WBGene00011274,174555.0,"['hypodermis', 'muscle cell', 'and ventral nerve cord']"
3229,0.9839,0.3971,#858585,0.5161,1.0,sdz-38,740,WBGene00014131,191448.0,"['several structures', 'including MSaa', 'MSap', 'MSp', 'MSpa', 'and MSpp']"
3230,-1.353,7.75,#858585,0.2202,0.6095,lec-3,2237,WBGene00002266,174557.0,
3231,1.21,5.87,#858585,0.346,0.843,nlt-1,512,WBGene00003773,191734.0,
3232,0.4041,8.991,#858585,0.9387,1.0,lec-2,4323,WBGene00002265,174560.0,
3233,0.819,5.471,#858585,0.6495,1.0,ttc-36,629,WBGene00009947,174562.0,
3234,-0.8952,4.741,#858585,0.6383,1.0,mtcu-2,2051,WBGene00009944,174563.0,
3235,-1.192,5.684,#858585,0.2874,0.7409,let-268,2508,WBGene00002497,174564.0,"['GLR', 'body wall musculature']"
3236,0.6377,6.165,#858585,0.919,1.0,bath-38,1632,WBGene00009945,174567.0,"['several structures', 'including hypodermis', 'pharynx']"
3237,-1.177,5.99,#858585,0.2999,0.7632,flp-4,534,WBGene00001447,174568.0,"['nerve ring', 'pharyngeal neurons', 'and sensory neurons']"
3238,1.974,0.5833,#858585,0.04931,0.1862,stg-1,1101,WBGene00007670,3564873.0,['neurons']
3239,-1.408,0.8629,#858585,0.2515,0.6722,C18D1.2,1437,WBGene00007669,182781.0,
3240,-1.672,5.935,#858585,0.05698,0.2102,die-1,2901,WBGene00000995,174569.0,"['several structures', 'including amphid neurons', 'intestine', 'pharynx', 'somatic nervous system', 'and tail']"
3241,0.6638,5.564,#858585,0.864,1.0,lact-2,1520,WBGene00014164,174570.0,
3242,-1.442,6.6,#858585,0.1025,0.3379,pas-7,992,WBGene00003928,174571.0,
3243,0.5781,8.59,#858585,0.8055,1.0,puf-12,2508,WBGene00014165,174572.0,
3244,0.5326,2.188,#858585,0.8509,1.0,ZK945.4,1646,WBGene00014166,174573.0,
3245,-0.2269,3.055,#858585,0.9498,1.0,F27E5.7,646,WBGene00044035,6418644.0,
3246,-1.028,2.104,#858585,0.4627,1.0,F27E5.5,1334,WBGene00009194,185025.0,
3247,0.6585,2.55,#858585,0.8435,1.0,F27E5.9,517,WBGene00206354,13186714.0,
3248,-1.716,3.252,#858585,0.01391,0.06855,pax-3,1029,WBGene00003939,185022.0,"['several structures', 'including AB lineage cell', 'E lineage cell', 'P9/10L', 'hypodermal cell', 'and tail']"
3249,3.087,-0.2627,#858585,0.02166,0.09688,nlp-63,398,WBGene00044028,3565890.0,
3250,-0.4218,5.737,#858585,0.9543,1.0,daf-19,3061,WBGene00000914,174577.0,"['several structures', 'including body wall musculature', 'excretory cell', 'intestine', 'neurons', 'and somatic nervous system']"
3251,0.7577,2.886,#858585,0.8015,1.0,gpd-4,1143,WBGene00001686,174578.0,['germ line']
3252,-0.5729,4.156,#858585,0.9495,1.0,F33H1.3,1148,WBGene00009364,174579.0,
3253,0.05599,6.314,#858585,0.9791,1.0,F33H1.4,4760,WBGene00009365,174580.0,['gonad']
3254,-1.355,5.376,#858585,0.2105,0.5887,R05H5.3,595,WBGene00011038,174582.0,['germ line']
3255,-0.03951,1.718,#858585,0.9965,1.0,R05H5.4,1268,WBGene00011039,174581.0,
3256,0.05269,3.336,#858585,0.9975,1.0,R05H5.5,856,WBGene00011040,187628.0,
3257,-1.475,7.397,#858585,0.1842,0.5304,tts-2,882,WBGene00006651,,
3258,0.005992,5.942,#858585,0.9998,1.0,T01E8.1,1669,WBGene00011331,174584.0,
3259,-0.8962,5.562,#858585,0.6237,1.0,plc-3,4427,WBGene00004038,174586.0,"['ALA', 'gonad', 'intestine', 'and non-striated muscle']"
3260,-0.2937,3.426,#858585,0.9817,1.0,T01E8.8,1161,WBGene00011335,259461.0,
3261,-0.0319,4.939,#858585,0.9996,1.0,mec-15,1365,WBGene00003177,174587.0,"['neurons', 'spermatheca']"
3262,-0.08327,5.055,#858585,0.9897,1.0,mrps-14,737,WBGene00011334,174588.0,
3263,-0.08626,6.9,#858585,0.9744,1.0,nrde-2,4055,WBGene00011333,174589.0,
3264,-1.206,7.044,#858585,0.3742,0.8889,F54B3.1,11009,WBGene00010013,174591.0,
3265,-1.137,2.966,#858585,0.4053,0.9402,F54B3.4,398,WBGene00175034,13186748.0,
3266,1.697,3.83,#858585,0.07671,0.268,ZK971.1,531,WBGene00014175,174592.0,
3267,0.1365,6.816,#858585,0.982,1.0,nep-26,3236,WBGene00014171,174593.0,
3268,0.00547,4.099,#858585,0.9989,1.0,clpp-1,733,WBGene00014172,174594.0,['intestine']
3269,-0.02925,3.334,#858585,0.9968,1.0,mdt-22,579,WBGene00007022,174595.0,
3270,0.09691,5.472,#858585,0.9792,1.0,vha-9,561,WBGene00006918,174596.0,
3271,0.6517,0.2015,#858585,0.7961,1.0,M02G9.3,1012,WBGene00010832,187406.0,
3272,-0.7891,0.1159,#858585,0.6597,1.0,M02G9.2,1386,WBGene00010831,187405.0,
3273,-1.039,1.977,#858585,0.4499,1.0,M02G9.1,4972,WBGene00010830,174597.0,
3274,-0.3087,6.864,#858585,0.921,1.0,pro-2,2303,WBGene00007413,174598.0,
3275,0.159,5.873,#858585,0.951,1.0,stip-1,2662,WBGene00007412,174600.0,
3276,-1.616,6.744,#858585,0.04072,0.1591,C07E3.3,3751,WBGene00007414,174601.0,
3277,-0.6262,4.133,#858585,0.9307,1.0,ceh-58,1170,WBGene00007417,182371.0,"['dorsal nerve cord', 'head neurons', 'nerve ring', 'tail neurons', 'and ventral nerve cord']"
3278,-0.3854,5.757,#858585,0.9755,1.0,ztf-27,1457,WBGene00011661,188340.0,
3279,0.5979,6.498,#858585,0.9313,1.0,T09F3.2,1881,WBGene00011662,174602.0,"['head', 'tail']"
3280,1.621,3.263,#858585,0.05016,0.1888,gpd-1,1136,WBGene00001683,174603.0,['germ line']
3281,1.691,2.181,#858585,0.04489,0.1722,T09F3.4,721,WBGene00011663,174605.0,
3282,-0.1214,3.546,#858585,0.9976,1.0,T09F3.5,1687,WBGene00011664,3565885.0,
3283,1.308,3.016,#858585,0.1703,0.5013,E04D5.5,880,WBGene00008484,259462.0,
3284,-0.3992,7.691,#858585,0.93,1.0,eif-2A,2064,WBGene00008480,174606.0,
3285,0.9326,2.855,#858585,0.5817,1.0,E04D5.2,1302,WBGene00008481,184036.0,
3286,2.198,1.187,#858585,0.02186,0.0976,E04D5.4,652,WBGene00008483,184038.0,
3287,2.915,1.041,#858585,0.04483,0.172,ZK673.1,732,WBGene00014057,174607.0,
3288,1.575,6.833,#858585,0.06601,0.2369,ZK673.2,1029,WBGene00014058,174608.0,
3289,1.142,3.65,#858585,0.286,0.738,lin-56,1194,WBGene00003038,174609.0,['somatic cell']
3290,-0.6607,2.363,#858585,0.865,1.0,ZK673.4,1501,WBGene00014060,191389.0,
3291,-1.846,1.291,#858585,0.05073,0.1905,ZK673.5,441,WBGene00014061,174610.0,
3292,0.8811,2.49,#858585,0.6503,1.0,clec-143,1245,WBGene00014063,191390.0,
3293,-0.6949,3.993,#858585,0.8665,1.0,clec-60,1250,WBGene00014046,191384.0,['intestine']
3294,-0.6284,0.1041,#858585,0.7345,1.0,ZK666.15,560,WBGene00195145,13186820.0,
3295,1.599,0.8873,#858585,0.1308,0.4091,clec-61,1247,WBGene00014047,174613.0,
3296,2.116,1.355,#858585,0.03364,0.1366,F59B10.2,1662,WBGene00010318,186598.0,
3297,-0.7199,2.363,#858585,0.7352,1.0,F59B10.6,318,WBGene00010322,174617.0,
3298,-0.1228,6.057,#858585,0.9873,1.0,R166.2,2065,WBGene00011302,174620.0,
3299,0.8827,5.171,#858585,0.6764,1.0,R166.3,730,WBGene00011303,174621.0,
3300,-0.03737,5.181,#858585,0.9984,1.0,pro-1,1712,WBGene00004185,174622.0,
3301,0.5174,8.963,#858585,0.8423,1.0,mnk-1,4565,WBGene00011304,174623.0,"['body wall musculature', 'intestine', 'pharyngeal muscle cell', 'pharynx', 'and vulval muscle']"
3302,-1.543,8.476,#858585,0.08286,0.2856,cdc-48.1,2762,WBGene00007352,174624.0,"['several structures', 'including body wall musculature', 'germ line', 'and gonad']"
3303,-0.02184,4.63,#858585,0.9957,1.0,C06A1.2,566,WBGene00007353,182279.0,
3304,1.974,1.141,#858585,0.04472,0.1717,C06A1.4,2896,WBGene00014667,,
3305,-0.4273,5.869,#858585,0.9448,1.0,rpb-6,590,WBGene00007355,174630.0,
3306,-0.5571,5.67,#858585,0.9533,1.0,dap-3,1242,WBGene00000933,174631.0,
3307,-1.068,5.348,#858585,0.4027,0.9359,mrps-22,1429,WBGene00007564,174632.0,
3308,-0.7389,5.966,#858585,0.7528,1.0,algn-9,2016,WBGene00007556,174633.0,
3309,-0.0008146,6.733,#858585,0.9999,1.0,crn-3,2726,WBGene00000796,3565889.0,
3310,0.9892,4.4,#858585,0.5183,1.0,crn-5,747,WBGene00000798,174634.0,
3311,0.04341,3.63,#858585,0.9879,1.0,C14A4.6,619,WBGene00007557,182581.0,
3312,0.5897,2.694,#858585,0.7549,1.0,C14A4.7,680,WBGene00007558,174635.0,
3313,0.2013,1.016,#858585,0.9695,1.0,srv-2,912,WBGene00005713,353479.0,
3314,0.01098,4.396,#858585,0.9986,1.0,taf-13,445,WBGene00006397,192052.0,
3315,-0.1716,4.945,#858585,0.9953,1.0,ccm-3,1066,WBGene00007561,174638.0,"['several structures', 'including excretory canal', 'germ line', 'intestinal cell', 'oocyte', 'and pharynx']"
3316,-0.6573,4.909,#858585,0.8732,1.0,C14A4.12,2323,WBGene00007562,174639.0,"['excretory canal', 'pharyngeal-intestinal valve', 'virL', 'and virR']"
3317,1.347,0.5538,#858585,0.1826,0.5273,C14A4.13,1456,WBGene00007563,182582.0,
3318,-1.696,2.767,#858585,0.02814,0.1191,cutl-9,1813,WBGene00010893,174640.0,
3319,-0.9149,4.549,#858585,0.5811,1.0,M28.8,2649,WBGene00010899,174641.0,
3320,2.969,3.857,#858585,0.0265,0.1137,M28.10,942,WBGene00010901,187463.0,
3321,0.005239,2.921,#858585,0.9992,1.0,nphp-1,2076,WBGene00010898,174643.0,"['ciliated neurons', 'cloacal ganglion', 'postcloacal sensillum', 'and sensory neurons']"
3322,0.7479,5.449,#858585,0.8561,1.0,lact-3,1695,WBGene00010897,174644.0,
3323,-1.108,7.21,#858585,0.4116,0.9499,M28.5,520,WBGene00010896,174645.0,
3324,-0.3086,6.691,#858585,0.9883,1.0,rsp-7,1803,WBGene00004704,174646.0,
3325,1.346,1.608,#858585,0.165,0.4905,D2089.8,474,WBGene00271706,32928585.0,
3326,-0.2902,2.647,#858585,0.9319,1.0,D2089.3,882,WBGene00008434,183962.0,
3327,-1.596,5.818,#858585,0.03617,0.1444,ptb-1,2675,WBGene00004207,174647.0,"['several structures', 'including amphid neurons', 'head', 'muscle cell', 'somatic gonad', 'and tail']"
3328,-0.07609,4.019,#858585,0.9983,1.0,gbh-1,1416,WBGene00001522,174648.0,
3329,-0.8665,3.776,#858585,0.6791,1.0,ggr-1,1704,WBGene00001586,191636.0,"['AIB', 'nerve ring neurons', 'and ventral cord neurons']"
3330,-0.6085,3.954,#858585,0.9296,1.0,dph-2,1573,WBGene00007488,174649.0,
3331,-1.951,6.658,#858585,0.0197,0.09007,col-39,1051,WBGene00000616,174651.0,
3332,-0.7108,4.257,#858585,0.8626,1.0,col-80,1039,WBGene00000656,174652.0,
3333,0.6103,2.148,#858585,0.8838,1.0,C09G5.13,1010,WBGene00206538,13186898.0,
3334,-0.1741,3.384,#858585,0.9765,1.0,mks-5,4019,WBGene00007490,174654.0,"['chemosensory neurons', 'ciliated neurons']"
3335,-0.7602,2.982,#858585,0.685,1.0,glb-12,967,WBGene00008256,174655.0,"['hermaphrodite gonad', 'neurons', 'and vulva']"
3336,-0.6805,7.157,#858585,0.7243,1.0,mpz-1,8203,WBGene00003404,174657.0,"['body wall musculature', 'nerve ring', 'neurons', 'and vulval muscle']"
3337,-1.048,5.098,#858585,0.472,1.0,ect-2,3407,WBGene00002297,174658.0,"['several structures', 'including germ line', 'hermaphrodite gonad', 'hyp7', 'neuroblasts', 'and somatic gonad precursor']"
3338,-0.8844,6.384,#858585,0.6092,1.0,cdl-1,1600,WBGene00000411,174659.0,
3339,-0.3669,5.561,#858585,0.8723,1.0,tag-209,441,WBGene00011072,174660.0,
3340,-0.594,5.952,#858585,0.8161,1.0,vps-11,3243,WBGene00011067,174661.0,['gonad']
3341,-0.4052,4.115,#858585,0.9752,1.0,set-14,1555,WBGene00011068,174662.0,"['hypodermis', 'intestine', 'and neurons']"
3342,-0.4122,4.786,#858585,0.9766,1.0,npp-19,1397,WBGene00003805,174663.0,
3343,0.4788,3.062,#858585,0.8958,1.0,ceh-62,1094,WBGene00011069,187642.0,"['dorsal nerve cord', 'neurons', 'tail neurons', 'and ventral nerve cord']"
3344,2.726,2.678,#858585,0.02121,0.09531,msrp-7,515,WBGene00011070,187643.0,
3345,-1.268,6.062,#858585,0.2728,0.7133,R06F6.8,4741,WBGene00011071,174664.0,
3346,0.1168,6.202,#858585,0.9944,1.0,ech-4,1336,WBGene00001153,174665.0,['hypodermis']
3347,-0.01609,4.063,#858585,0.9998,1.0,R06F6.12,1389,WBGene00023418,174666.0,
3348,-0.9024,7.268,#858585,0.5739,1.0,mix-1,4028,WBGene00003367,174669.0,['AB']
3349,-0.887,5.285,#858585,0.6363,1.0,VM106R.1,1244,WBGene00014848,24104964.0,
3350,0.6092,4.092,#858585,0.9314,1.0,M106.8,813,WBGene00077658,6418631.0,
3351,1.156,4.911,#858585,0.3165,0.7922,M106.2,1724,WBGene00010910,174670.0,
3352,0.2909,3.311,#858585,0.9519,1.0,M106.7,477,WBGene00044924,4926972.0,
3353,-0.03229,5.94,#858585,0.9994,1.0,M106.3,1541,WBGene00010911,174671.0,"['head', 'tail']"
3354,-0.5724,6.334,#858585,0.9129,1.0,gmps-1,2871,WBGene00010912,174672.0,
3355,0.7066,7.805,#858585,0.8351,1.0,cap-2,1260,WBGene00000293,174673.0,['tail']
3356,0.0948,5.797,#858585,0.9925,1.0,cyn-4,1627,WBGene00000880,174674.0,"['body wall musculature', 'germ line', 'intestine', 'pharynx', 'and uterus']"
3357,0.08706,7.027,#858585,0.9943,1.0,copz-1,693,WBGene00010333,174675.0,
3358,-1.058,4.956,#858585,0.4233,0.969,orc-2,1916,WBGene00003882,174676.0,
3359,0.6505,3.582,#858585,0.7729,1.0,lurp-1,593,WBGene00009700,185748.0,
3360,3.447,-0.2606,#858585,0.02402,0.1052,21ur-13748,21,WBGene00169648,,
3361,0.5391,7.34,#858585,0.8528,1.0,ptr-8,2809,WBGene00004222,174678.0,"['hypodermis', 'rectum']"
3362,-0.6379,2.398,#858585,0.768,1.0,sra-10,1087,WBGene00005036,191781.0,"['dorsal ganglion', 'muscle cell', 'and neurons']"
3363,-1.106,0.6343,#858585,0.3816,0.9008,gly-1,1419,WBGene00001626,174679.0,"['pharyngeal neurons', 'seam cell']"
3364,-1.311,0.5092,#858585,0.2084,0.5836,sra-12,1031,WBGene00005038,3565216.0,
3365,-0.8295,5.644,#858585,0.7464,1.0,tba-4,1399,WBGene00006530,174680.0,
3366,-0.5116,5.721,#858585,0.9501,1.0,tceb-3,1756,WBGene00010990,174683.0,
3367,-1.807,8.109,#858585,0.09632,0.3209,ptp-3,8566,WBGene00004215,174685.0,"['embryonic cell', 'hypodermis', 'and nervous system']"
3368,0.1288,6.94,#858585,0.9863,1.0,let-858,2808,WBGene00002957,174689.0,['somatic cell']
3369,1.918,5.844,#858585,0.03962,0.1556,nlp-18,544,WBGene00003756,185219.0,"['intestine', 'neurons', 'rectal gland cell', 'and spermatheca']"
3370,-1.226,2.088,#858585,0.255,0.679,F33A8.10,1035,WBGene00009356,3565256.0,
3371,-0.4261,8.622,#858585,0.9496,1.0,cey-1,1381,WBGene00000472,174690.0,"['germ cell', 'germ line', 'pharynx', 'and somatic cell']"
3372,-0.6507,5.453,#858585,0.9175,1.0,F33A8.4,1904,WBGene00009352,174691.0,
3373,-0.4167,6.063,#858585,0.8733,1.0,sdhd-1,604,WBGene00009353,174692.0,
3374,0.1132,3.333,#858585,0.9955,1.0,ilkp-1,1025,WBGene00009354,185220.0,
3375,1.018,3.492,#858585,0.4752,1.0,F45E10.2,2015,WBGene00009729,185801.0,
3376,-1.893,7.532,#858585,0.1146,0.3691,unc-53,5263,WBGene00006788,174693.0,"['several structures', 'including excretory cell', 'hermaphrodite distal tip cell', 'neurons', 'non-striated muscle', 'and socket cell']"
3377,-0.8436,3.832,#858585,0.6541,1.0,nbs-1,1193,WBGene00007504,174694.0,
3378,0.04999,10.12,#858585,0.9855,1.0,rpl-36.A,398,WBGene00004454,174695.0,
3379,-0.738,7.911,#858585,0.8145,1.0,nuo-1,1601,WBGene00003831,174696.0,
3380,0.5816,3.832,#858585,0.9348,1.0,C09H10.5,1280,WBGene00007499,182478.0,
3381,-0.6524,5.425,#858585,0.8951,1.0,nasp-1,1297,WBGene00007500,174697.0,"['metacorpus', 'pharynx', 'and terminal bulb']"
3382,-1.233,3.449,#858585,0.2806,0.7274,apc-17,1043,WBGene00007501,182479.0,
3383,0.2361,2.546,#858585,0.9841,1.0,glb-4,1064,WBGene00007502,182480.0,"['head neurons', 'lateral nerve cord', 'tail neurons', 'ventral cord neurons', 'and ventral nerve cord']"
3384,-1.478,5.863,#858585,0.1582,0.4747,mat-2,4592,WBGene00003133,174698.0,
3385,-0.1428,11.0,#858585,0.9576,1.0,rps-9,669,WBGene00004478,174699.0,
3386,-0.2193,4.406,#858585,0.96,1.0,lsm-1,548,WBGene00003076,174700.0,"['germ line', 'somatic cell']"
3387,-0.5603,4.933,#858585,0.8973,1.0,F40F8.1,1530,WBGene00009575,174701.0,"['head', 'neurons']"
3388,1.013,0.9566,#858585,0.4968,1.0,F40F8.3,505,WBGene00009576,185540.0,
3389,-0.4772,5.735,#858585,0.9717,1.0,F40F8.11,1643,WBGene00044916,4926894.0,
3390,0.3169,7.549,#858585,0.9822,1.0,F40F8.5,1724,WBGene00009578,174702.0,
3391,-1.29,5.959,#858585,0.3037,0.7704,F40F8.4,672,WBGene00009577,174704.0,
3392,-0.4635,4.128,#858585,0.9648,1.0,arrd-6,1878,WBGene00009579,185541.0,"['amphid process', 'head ganglion', 'nerve ring', 'tail neurons', 'and ventral nerve cord']"
3393,0.7691,6.305,#858585,0.7735,1.0,pqm-1,1184,WBGene00004096,174705.0,"['head muscle', 'head neurons', 'intestinal cell', 'and pseudocoelom']"
3394,-0.6541,5.586,#858585,0.8952,1.0,ptr-13,2903,WBGene00004227,191748.0,
3395,2.399,0.7309,#858585,0.0134,0.06693,K07C10.3,256,WBGene00194851,,
3396,0.9026,3.909,#858585,0.6213,1.0,F37H8.2,1971,WBGene00009511,185431.0,
3397,0.3899,0.8999,#858585,0.8725,1.0,anr-35,1102,WBGene00219589,,
3398,1.011,0.5763,#858585,0.4885,1.0,F37H8.6,216,WBGene00194955,13187037.0,
3399,-0.1758,2.173,#858585,0.9852,1.0,lir-3,940,WBGene00003046,174707.0,"['muscle cell', 'neurons', 'spermatheca', 'and vulva']"
3400,-0.9897,4.812,#858585,0.5123,1.0,F37H8.5,920,WBGene00009514,3564874.0,['ventral nerve cord']
3401,-2.782,8.684,#858585,0.04282,0.1657,srap-1,11595,WBGene00011522,174709.0,"['cuticle', 'nervous system', 'seam cell', 'syncytium', 'and vulva']"
3402,1.332,3.135,#858585,0.2348,0.6407,plpr-1,1542,WBGene00011524,174710.0,
3403,-0.6872,5.116,#858585,0.8876,1.0,cox-15,1345,WBGene00011526,174712.0,
3404,-0.3552,5.845,#858585,0.9871,1.0,cchl-1,1203,WBGene00011527,174713.0,
3405,0.4315,4.843,#858585,0.9387,1.0,fndc-1,582,WBGene00011528,174714.0,
3406,-1.067,6.58,#858585,0.4002,0.9318,rpn-9,1498,WBGene00004465,174715.0,
3407,0.4023,5.714,#858585,0.9741,1.0,T06D8.9,1427,WBGene00011529,174716.0,
3408,1.872,0.5085,#858585,0.04548,0.1739,T05B9.2,834,WBGene00011465,188109.0,
3409,-0.8163,3.59,#858585,0.6977,1.0,unc-130,1294,WBGene00006853,174721.0,"['several structures', 'including HO neuron', 'hypodermis', 'ray', 'tail', 'and ventral body wall muscle']"
3410,0.58,4.512,#858585,0.9504,1.0,C47G2.3,758,WBGene00008164,174722.0,
3411,-0.3215,5.431,#858585,0.9138,1.0,C47G2.4,2201,WBGene00008165,174724.0,
3412,0.06203,0.4065,#858585,0.9911,1.0,C47G2.8,908,WBGene00044161,,
3413,-0.3717,6.324,#858585,0.9061,1.0,saps-1,2980,WBGene00008166,174725.0,
3414,-0.1694,5.824,#858585,0.9952,1.0,raga-1,1273,WBGene00006414,174726.0,
3415,-0.3204,5.208,#858585,0.9522,1.0,samp-1,2079,WBGene00011994,174727.0,
3416,-0.1124,6.007,#858585,0.9975,1.0,rsf-1,2027,WBGene00011995,174728.0,"['pharynx', 'vulva']"
3417,-1.11,-0.3932,#858585,0.5007,1.0,T24F1.7,419,WBGene00011999,3565098.0,
3418,0.8898,2.001,#858585,0.5852,1.0,T24F1.4,613,WBGene00011996,188867.0,
3419,-0.8017,5.483,#858585,0.7115,1.0,tag-180,3658,WBGene00007041,174730.0,"['head neurons', 'intestine', 'and tail neurons']"
